# tracer: nop
#
# entries-in-buffer/entries-written: 1818/77669   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 ThreadPoolSingl-25221   [007] ..... 44551.576625: block_rq_issue: 8,0 RA 8192 () 20398768 + 16 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..... 44551.576737: block_rq_issue: 8,0 RA 4096 () 20398800 + 8 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..... 44551.576765: block_rq_issue: 8,0 RA 4096 () 20398816 + 8 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..s1. 44551.576782: block_rq_complete: 8,0 RA () 20398728 + 24 [0]
 ThreadPoolSingl-25221   [007] ..s.. 44551.576815: block_rq_complete: 8,0 RA () 20398768 + 16 [0]
 ThreadPoolSingl-25221   [007] ..s.. 44551.576847: block_rq_complete: 8,0 RA () 20398800 + 8 [0]
 ThreadPoolSingl-25221   [007] ..s.. 44551.576867: block_rq_complete: 8,0 RA () 20398816 + 8 [0]
 ThreadPoolSingl-25221   [007] ..... 44551.576892: block_rq_issue: 8,0 RA 8192 () 20398840 + 16 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..s.. 44551.577080: block_rq_complete: 8,0 RA () 20398840 + 16 [0]
 ThreadPoolSingl-25221   [007] ..... 44551.577903: binder_transaction: transaction=3959813 dest_node=1 dest_proc=538 dest_thread=0 reply=0 flags=0x10 code=0x4
 ThreadPoolSingl-25221   [007] ..... 44551.577939: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 ThreadPoolSingl-25221   [007] ..... 44551.577944: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
 ThreadPoolSingl-25221   [007] ..... 44551.583632: block_rq_issue: 8,0 R 4096 () 20858104 + 8 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..... 44551.583642: block_rq_issue: 8,0 RA 98304 () 3161680 + 192 [ThreadPoolSingl]
          <idle>-0       [007] ..s1. 44551.583981: block_rq_complete: 8,0 RA () 3161680 + 192 [0]
    binder:600_2-647     [007] ..... 44551.586907: binder_transaction_received: transaction=3959824
    binder:600_2-647     [007] ..... 44551.586934: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 ThreadPoolSingl-25221   [007] ..... 44551.594732: binder_transaction: transaction=3959861 dest_node=7089 dest_proc=539 dest_thread=0 reply=0 flags=0x10 code=0xd
 ThreadPoolSingl-25221   [007] ..... 44551.594766: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 ThreadPoolSingl-25221   [007] ..... 44551.594907: binder_transaction_received: transaction=3959862
 ThreadPoolSingl-25221   [007] ..... 44551.594961: binder_transaction: transaction=3959863 dest_node=3 dest_proc=539 dest_thread=0 reply=0 flags=0x10 code=0x3
 ThreadPoolSingl-25221   [007] ..... 44551.595002: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 ThreadPoolSingl-25221   [007] ..... 44551.595126: binder_transaction_received: transaction=3959864
 ThreadPoolSingl-25221   [007] ..... 44551.595143: binder_transaction: transaction=3959865 dest_node=3 dest_proc=539 dest_thread=0 reply=0 flags=0x10 code=0x1
 ThreadPoolSingl-25221   [007] ..... 44551.595172: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 ThreadPoolSingl-25221   [007] ..... 44551.596867: binder_transaction: transaction=3959870 dest_node=7089 dest_proc=539 dest_thread=0 reply=0 flags=0x10 code=0xd
 ThreadPoolSingl-25221   [007] ..... 44551.596903: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 ThreadPoolSingl-25221   [007] ..... 44551.597183: binder_transaction_received: transaction=3959871
 ThreadPoolSingl-25221   [007] ..... 44551.597563: block_rq_issue: 8,0 RA 98304 () 3031248 + 192 [ThreadPoolSingl]
          <idle>-0       [007] ..s1. 44551.597762: block_rq_complete: 8,0 RA () 3031248 + 192 [0]
   kworker/u16:1-24965   [007] ..... 44551.634697: block_rq_issue: 8,0 R 24576 () 11872136 + 48 [kworker/u16:1]
