"frame_type","frame_token","intended_vsync","expected_start","expected_end","actual_end","is_jank","delay_ms"
"SF",3180259,448220218013789,448220218013789,448220234680455,448220204711331,1,-13.302458
"SF",3180272,448220234724055,448220234724055,448220251390721,448220221132189,1,-13.591866
"SF",3180285,448220251444072,448220251444072,448220268110738,448220239296861,1,-12.147211
"SF",3180298,448220268157923,448220268157923,448220284824589,448220255027859,1,-13.130064
"SF",3180311,448220284879674,448220284879674,448220301546340,448220271713732,1,-13.165942
"SF",3180324,448220301597447,448220301597447,448220318264113,448220288142890,1,-13.454557
"SF",3180337,448220318307602,448220318307602,448220334974268,448220303195950,1,-15.111652
"SF",3180350,448220335026775,448220335026775,448220351693441,448220321711982,1,-13.314793
"SF",3180363,448220351739181,448220351739181,448220368405847,448220338365017,1,-13.374164
"SF",3180376,448220368454093,448220368454093,448220385120759,448220355552070,1,-12.902023
"SF",3180389,448220385171762,448220385171762,448220401838428,448220372483100,1,-12.688662
"SF",3180402,448220401875227,448220401875227,448220418541893,448220388654121,1,-13.221106
"SF",3180421,448220418586298,448220418586298,448220435252964,448220405748522,1,-12.837776
"SF",3180440,448220435309235,448220435309235,448220451975901,448220422428575,1,-12.880660
"SF",3180796,448221371350734,448221371350734,448221388017400,448221356614082,1,-14.736652
"SF",3180815,448221388070407,448221388070407,448221404737073,448221375207791,1,-12.862616
"SF",3180834,448221404783519,448221404783519,448221421450185,448221391926826,1,-12.856693
"SF",3180853,448221421380223,448221421380223,448221438046889,448221406686307,1,-14.693916
"SF",3180872,448221438090806,448221438090806,448221454757472,448221424930326,1,-13.160480
"SF",3180891,448221454801408,448221454801408,448221471468074,448221441180122,1,-13.621286
"SF",3180910,448221471517132,448221471517132,448221488183798,448221458832710,1,-12.684422
"SF",3180929,448221488228255,448221488228255,448221504894921,448221474895454,1,-13.332801
"SF",3180948,448221504935130,448221504935130,448221521601796,448221491163561,1,-13.771569
"SF",3180967,448221521652176,448221521652176,448221538318842,448221508214261,1,-13.437915
"SF",3180986,448221538359795,448221538359795,448221555026461,448221525620430,1,-12.739365
"SF",3181005,448221555081439,448221555081439,448221571748105,448221541599149,1,-13.482290
"SF",3181018,448221571790674,448221571790674,448221588457340,448221558498888,1,-13.291786
"SF",3181031,448221588505711,448221588505711,448221605172377,448221575603828,1,-12.901883
"SF",3181044,448221605265692,448221605265692,448221621932358,448221591929512,1,-13.336180
"SF",3181057,448221621930417,448221621930417,448221638597083,448221608109769,1,-13.820648
"SF",3181070,448221638643182,448221638643182,448221655309848,448221624728666,1,-13.914516
"SF",3181083,448221655359636,448221655359636,448221672026302,448221640955594,1,-14.404042
"SF",3181096,448221672060664,448221672060664,448221688727330,448221656949409,1,-15.111255
"SF",3181109,448221688772258,448221688772258,448221705438924,448221673667549,1,-15.104709
"SF",3181122,448221705492539,448221705492539,448221722159205,448221690308540,1,-15.183999
"SF",3181153,448221738902722,448221738902722,448221755569388,448221723502917,1,-15.399805
"SF",3181166,448221755612936,448221755612936,448221772279602,448221740477526,1,-15.135410
"SF",3181179,448221772323332,448221772323332,448221788989998,448221757161283,1,-15.162049
"SF",3181192,448221789029154,448221789029154,448221805695820,448221773746040,1,-15.283114
"SF",3181205,448221805737150,448221805737150,448221822403816,448221792669990,1,-13.067160
"SF",3181218,448221822448218,448221822448218,448221839114884,448221807146390,1,-15.301828
"SF",3181237,448221839147795,448221839147795,448221855814461,448221824236804,1,-14.910991
"SF",3181256,448221855852538,448221855852538,448221872519204,448221842841418,1,-13.011120
"SF",3181269,448221872558063,448221872558063,448221889224729,448221859279569,1,-13.278494
"SF",3181282,448221889414929,448221889414929,448221906081595,448221874997058,1,-14.417871
"SF",3181295,448221905978272,448221905978272,448221922644938,448221890997302,1,-14.980970
"SF",3181308,448221922674068,448221922674068,448221939340734,448221907792305,1,-14.881763
"SF",3181321,448221939393348,448221939393348,448221956060014,448221924377144,1,-15.016204
"SF",3181334,448221956096564,448221956096564,448221972763230,448221941157987,1,-14.938577
"SF",3181347,448221972803226,448221972803226,448221989469892,448221958167427,1,-14.635799
"SF",3181360,448221989521006,448221989521006,448222006187672,448221975165555,1,-14.355451
"SF",3181379,448222006233713,448222006233713,448222022900379,448221991282295,1,-14.951418
"SF",3181404,448222022941153,448222022941153,448222039607819,448222007889921,1,-15.051232
"SF",3181429,448222039648729,448222039648729,448222056315395,448222024659370,1,-14.989359
"SF",3181442,448222056363871,448222056363871,448222073030537,448222041311145,1,-15.052726
"SF",3181455,448222073070077,448222073070077,448222089736743,448222058223335,1,-14.846742
"SF",3181468,448222089781187,448222089781187,448222106447853,448222074926949,1,-14.854238
"SF",3181481,448222106491565,448222106491565,448222123158231,448222091854642,1,-14.636923
"SF",3181494,448222123205992,448222123205992,448222139872658,448222108469633,1,-14.736359
"SF",3181507,448222139912689,448222139912689,448222156579355,448222124960884,1,-14.951805
"SF",3181520,448222156628142,448222156628142,448222173294808,448222142058174,1,-14.569968
"SF",3181533,448222173343573,448222173343573,448222190010239,448222158399320,1,-14.944253
"SF",3181546,448222190058246,448222190058246,448222206724912,448222175788317,1,-14.269929
"SF",3181559,448222206767649,448222206767649,448222223434315,448222192417590,1,-14.350059
"SF",3181572,448222223478065,448222223478065,448222240144731,448222208721748,1,-14.756317
"SF",3181585,448222240177935,448222240177935,448222256844601,448222225732247,1,-14.445688
"SF",3181604,448222256892872,448222256892872,448222273559538,448222241885526,1,-15.007346
"SF",3181623,448222273600573,448222273600573,448222290267239,448222259192452,1,-14.408121
"SF",3181636,448222290316304,448222290316304,448222306982970,448222275518827,1,-14.797477
"SF",3181655,448222307021589,448222307021589,448222323688255,448222292292183,1,-14.729406
"SF",3181674,448222323729330,448222323729330,448222340395996,448222308631010,1,-15.098320
"SF",3181699,448222340447826,448222340447826,448222357114492,448222326047758,1,-14.400068
"SF",3181718,448222357155368,448222357155368,448222373822034,448222342552763,1,-14.602605
"SF",3181737,448222373865287,448222373865287,448222390531953,448222360708402,1,-13.156885
"SF",3181750,448222390575966,448222390575966,448222407242632,448222375805692,1,-14.770274
"SF",3181763,448222407277544,448222407277544,448222423944210,448222392071806,1,-15.205738
"SF",3181800,448222457406763,448222457406763,448222474073429,448222442687894,1,-14.718869
"SF",3181813,448222474120782,448222474120782,448222490787448,448222461232247,1,-12.888535
"SF",3181826,448222490833705,448222490833705,448222507500371,448222477615425,1,-13.218280
"SF",3181839,448222507538477,448222507538477,448222524205143,448222494356474,1,-13.182003
"SF",3181852,448222524232999,448222524232999,448222540899665,448222509212186,1,-15.020813
"SF",3181865,448222540940064,448222540940064,448222557606730,448222525656075,1,-15.283989
"SF",3181878,448222557647217,448222557647217,448222574313883,448222542390084,1,-15.257133
"SF",3181891,448222574361887,448222574361887,448222591028553,448222559560819,1,-14.801068
"SF",3181904,448222591074755,448222591074755,448222607741421,448222575896594,1,-15.178161
"SF",3181917,448222607787587,448222607787587,448222624454253,448222592922636,1,-14.864951
"SF",3181930,448222624496187,448222624496187,448222641162853,448222609368314,1,-15.127873
"SF",3181943,448222641208585,448222641208585,448222657875251,448222626317818,1,-14.890767
"SF",3182241,448223443278662,448223443278662,448223459945328,448223428900663,1,-14.377999
"SF",3182248,448223460022000,448223460022000,448223476688666,448223447393543,1,-12.628457
"SF",3182406,448223727484052,448223727484052,448223744150718,448223713239531,1,-14.244521
"SF",3182413,448223744195695,448223744195695,448223760862361,448223731948637,1,-12.247058
"SF",3182438,448223760920922,448223760920922,448223777587588,448223751250070,1,-9.670852
"SF",3182463,448223777632924,448223777632924,448223794299590,448223766688424,1,-10.944500
"SF",3182482,448223794335983,448223794335983,448223811002649,448223783272408,1,-11.063575
"SF",3182501,448223811045252,448223811045252,448223827711918,448223800657744,1,-10.387508
"SF",3182520,448223827763553,448223827763553,448223844430219,448223818427275,1,-9.336278
"SF",3182539,448223844475778,448223844475778,448223861142444,448223832004830,1,-12.470948
"SF",3182558,448223861183530,448223861183530,448223877850196,448223849664620,1,-11.518910
"SF",3182577,448223877893185,448223877893185,448223894559851,448223866137887,1,-11.755298
"SF",3182596,448223894604306,448223894604306,448223911270972,448223882699533,1,-11.904773
"SF",3182615,448223911323328,448223911323328,448223927989994,448223899695260,1,-11.628068
"SF",3182640,448223928036790,448223928036790,448223944703456,448223917583769,1,-10.453021
"SF",3182665,448223944737293,448223944737293,448223961403959,448223930936186,1,-13.801107
"SF",3182684,448223961457076,448223961457076,448223978123742,448223949088571,1,-12.368505
"SF",3182709,448223978163258,448223978163258,448223994829924,448223967647856,1,-10.515402
"SF",3182728,448223994877579,448223994877579,448224011544245,448223981595854,1,-13.281725
"SF",3182747,448224011586587,448224011586587,448224028253253,448223997830026,1,-13.756561
"SF",3182760,448224028294728,448224028294728,448224044961394,448224014727324,1,-13.567404
"SF",3182773,448224045007654,448224045007654,448224061674320,448224032659371,1,-12.348283
"SF",3182786,448224061725420,448224061725420,448224078392086,448224047356759,1,-14.368661
"SF",3182799,448224078439329,448224078439329,448224095105995,448224064663766,1,-13.775563
"SF",3182812,448224095151971,448224095151971,448224111818637,448224081295765,1,-13.856206
"SF",3182825,448224111878872,448224111878872,448224128545538,448224099915190,1,-11.963682
"SF",3182838,448224128580197,448224128580197,448224145246863,448224116226632,1,-12.353565
"SF",3182851,448224145291203,448224145291203,448224161957869,448224131138742,1,-14.152461
"SF",3182864,448224162001245,448224162001245,448224178667911,448224150542713,1,-11.458532
"SF",3182877,448224178721045,448224178721045,448224195387711,448224165812041,1,-12.909004
"SF",3182890,448224195428512,448224195428512,448224212095178,448224181562692,1,-13.865820
"SF",3182903,448224212132819,448224212132819,448224228799485,448224198009266,1,-14.123553
"SF",3182916,448224228842251,448224228842251,448224245508917,448224215942127,1,-12.900124
"SF",3182929,448224245557969,448224245557969,448224262224635,448224233899606,1,-11.658363
"SF",3182960,448224262258252,448224262258252,448224278924918,448224247257638,1,-15.000614
"SF",3182991,448224278976339,448224278976339,448224295643005,448224264714385,1,-14.261954
"SF",3183022,448224295691515,448224295691515,448224312358181,448224281895130,1,-13.796385
"SF",3183053,448224312398130,448224312398130,448224329064796,448224299657256,1,-12.740874
"SF",3183078,448224329105591,448224329105591,448224345772257,448224316468006,1,-12.637585
"SF",3183103,448224345823426,448224345823426,448224362490092,448224331403553,1,-14.419873
"SF",3183128,448224362527109,448224362527109,448224379193775,448224348075835,1,-14.451274
"SF",3183153,448224379231932,448224379231932,448224395898598,448224367399158,1,-11.832774
"SF",3183178,448224395948463,448224395948463,448224412615129,448224383434518,1,-12.513945
"SF",3183203,448224412671671,448224412671671,448224429338337,448224398725697,1,-13.945974
"SF",3183228,448224429375011,448224429375011,448224446041677,448224417055164,1,-12.319847
"SF",3183247,448224446079041,448224446079041,448224462745707,448224434913603,0,0.000000
"SF",3183465,448224880592456,448224880592456,448224897259122,448224865785389,0,0.000000
"SF",3183484,448224897300718,448224897300718,448224913967384,448224882375965,1,-14.924753
"SF",3183503,448224913975744,448224913975744,448224930642410,448224899167510,1,-14.808234
"SF",3183522,448224930678880,448224930678880,448224947345546,448224916097197,1,-14.581683
"SF",3183541,448224947383872,448224947383872,448224964050538,448224932360910,1,-15.022962
"SF",3183560,448224964092064,448224964092064,448224980758730,448224948746327,1,-15.345737
"SF",3183573,448224980801760,448224980801760,448224997468426,448224965573353,1,-15.228407
"SF",3183586,448224997508705,448224997508705,448225014175371,448224982480824,1,-15.027881
"SF",3183599,448225014218198,448225014218198,448225030884864,448225005794056,1,-8.424142
"SF",3183618,448225030930615,448225030930615,448225047597281,448225021274444,1,-9.656171
"SF",3183637,448225047645057,448225047645057,448225064311723,448225036370391,1,-11.274666
"SF",3183656,448225064349722,448225064349722,448225081016388,448225052598174,1,-11.751548
"SF",3183675,448225081060904,448225081060904,448225097727570,448225068830352,1,-12.230552
"SF",3183694,448225097771608,448225097771608,448225114438274,448225084760243,1,-13.011365
"SF",3183713,448225114477578,448225114477578,448225131144244,448225100930327,1,-13.547251
"SF",3183732,448225131188376,448225131188376,448225147855042,448225116785837,1,-14.402539
"SF",3183751,448225147899893,448225147899893,448225164566559,448225133615956,1,-14.283937
"SF",3183776,448225164608990,448225164608990,448225181275656,448225149519398,1,-15.089592
"SF",3183801,448225181319907,448225181319907,448225197986573,448225166134470,1,-15.185437
"SF",3183826,448225198035311,448225198035311,448225214701977,448225182904204,0,0.000000
"SF",3183851,448225214743889,448225214743889,448225231410555,448225199890695,0,0.000000
"SF",3183942,448225298298369,448225298298369,448225314965035,448225283039540,0,0.000000
"SF",3183967,448225315006547,448225315006547,448225331673213,448225299865956,0,0.000000
"SF",3183992,448225331709784,448225331709784,448225348376450,448225319619781,0,0.000000
"SF",3184017,448225348426127,448225348426127,448225365092793,448225336616200,1,-11.809927
"SF",3184042,448225365125202,448225365125202,448225381791868,448225350422963,1,-14.702239
