# tracer: nop
#
# entries-in-buffer/entries-written: 3089/3089   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   traced_probes-1307    [004] d..2. 253154.853785: sched_switch: prev_comm=traced_probes prev_pid=1307 prev_prio=120 prev_state=R+ ==> next_comm=traced next_pid=1308 next_prio=120
    binder:609_2-609     [003] ..... 253154.853786: tracing_mark_write: C|609|HWComposer: DPU Cached Layer for PrimaryDisplay(0)|0
    binder:609_2-609     [003] ..... 253154.853794: tracing_mark_write: C|609|HWComposer: SF Cached Layer for PrimaryDisplay(0)|4
    binder:609_2-609     [003] ..... 253154.853802: tracing_mark_write: C|609|HWComposer: Total Layer for PrimaryDisplay(0)|6
    binder:609_2-609     [003] ..... 253154.853809: tracing_mark_write: B|609|prepareFrameCommit
    binder:609_2-609     [003] ..... 253154.853815: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853871: tracing_mark_write: B|609|HistogramAtomicCommit
    binder:609_2-609     [003] ..... 253154.853877: tracing_mark_write: B|609|mHistogramMutex
    binder:609_2-609     [003] ..... 253154.853882: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853886: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853892: tracing_mark_write: B|609|drmModeAtomicCommit
          <idle>-0       [005] d..1. 253154.853966: cpu_idle: state=4294967295 cpu_id=5
          <idle>-0       [005] d.h3. 253154.853976: sched_waking: comm=surfaceflinger pid=682 prio=112 target_cpu=005
          <idle>-0       [005] d.h4. 253154.853993: sched_wakeup: comm=surfaceflinger pid=682 prio=112 target_cpu=004
          <idle>-0       [005] d.h3. 253154.853995: sched_waking: comm=CompositorGpuTh pid=5111 prio=116 target_cpu=005
          <idle>-0       [005] d.h3. 253154.853995: sched_blocked_reason: pid=5111 iowait=0 caller=pmucal_rae_handle_seq+0x348/0x49c [cmupmucal]
          <idle>-0       [005] d.h4. 253154.854008: sched_wakeup: comm=CompositorGpuTh pid=5111 prio=116 target_cpu=006
