frame_number,intended_vsync_ns,expected_start_ns,expected_end_ns,actual_present_ns,is_jank,delay_ms
4043146,253126041317623,253126041317623,253126057917623,253126045207885,0,-12.709738
4043153,253126058019901,253126058019901,253126074619901,253126061250081,0,-13.369820
4043160,253126074722356,253126074722356,253126091322356,253126077754475,0,-13.567881
4043167,253126091425129,253126091425129,253126108025129,253126094786946,0,-13.238183
4043174,253126108128207,253126108128207,253126124728207,253126111386026,0,-13.342181
4043181,253126124832589,253126124832589,253126141432589,253126128897907,0,-12.534682
4043188,253126141538215,253126141538215,253126158138215,253126144349853,0,-13.788362
4043195,253126158241991,253126158241991,253126174841991,253126161426798,0,-13.415193
4043202,253126174946006,253126174946006,253126191546006,253126178980061,0,-12.565945
4043209,253126191652351,253126191652351,253126208252351,253126194778360,0,-13.473991
4043222,253126208359884,253126208359884,253126224959884,253126211923624,0,-13.036260
4043235,253126225062486,253126225062486,253126241662486,253126228163492,0,-13.498994
4043242,253126241767628,253126241767628,253126258367628,253126245254760,0,-13.112868
4043249,253126258471314,253126258471314,253126275071314,253126262097126,0,-12.974188
4043256,253126275178349,253126275178349,253126291778349,253126279481119,0,-12.297230
4043263,253126291884738,253126291884738,253126308484738,253126295196939,0,-13.287799
4043270,253126308590813,253126308590813,253126325190813,253126311890381,0,-13.300432
4043277,253126325294893,253126325294893,253126341894893,253126329215168,0,-12.679725
4043284,253126341998518,253126341998518,253126358598518,253126345385741,0,-13.212777
4043291,253126358703193,253126358703193,253126375303193,253126362376871,0,-12.926322
4043298,253126375404728,253126375404728,253126392004728,253126379117025,0,-12.887703
4043305,253126392108302,253126392108302,253126408708302,253126395974893,0,-12.733409
4043312,253126408818463,253126408818463,253126425418463,253126412491129,0,-12.927334
4043319,253126425529221,253126425529221,253126442129221,253126429200479,0,-12.928742
4043326,253126442235271,253126442235271,253126458835271,253126445826375,0,-13.008896
4043333,253126458944186,253126458944186,253126475544186,253126462257771,0,-13.286415
4043340,253126475647692,253126475647692,253126492247692,253126478805867,0,-13.441825
4043347,253126492353213,253126492353213,253126508953213,253126496605793,0,-12.347420
4043354,253126509056684,253126509056684,253126525656684,253126513053222,0,-12.603462
4043361,253126525763260,253126525763260,253126542363260,253126528760782,0,-13.602478
4043368,253126542472763,253126542472763,253126559072763,253126545489745,0,-13.583018
4043375,253126559178529,253126559178529,253126575778529,253126564184935,0,-11.593594
4043454,253126759696501,253126759696501,253126776296501,253126762969116,0,-13.327385
4043467,253126776404224,253126776404224,253126793004224,253126779694214,0,-13.310010
4043480,253126793111988,253126793111988,253126809711988,253126796881388,0,-12.830600
4043493,253126809819493,253126809819493,253126826419493,253126812780109,0,-13.639384
4043506,253126826496190,253126826496190,253126843096190,253126830395222,0,-12.700968
4043519,253126843193500,253126843193500,253126859793500,253126846034789,0,-13.758711
4043532,253126859926984,253126859926984,253126876526984,253126863508788,0,-13.018196
4043545,253126876623196,253126876623196,253126893223196,253126880206827,0,-13.016369
4043558,253126893319088,253126893319088,253126909919088,253126896535644,0,-13.383444
4043571,253126910016879,253126910016879,253126926616879,253126913216470,0,-13.400409
4043584,253126926715214,253126926715214,253126943315214,253126929918375,0,-13.396839
4043597,253126943414033,253126943414033,253126960014033,253126946463134,0,-13.550899
4043610,253126960113518,253126960113518,253126976713518,253126964167805,0,-12.545713
4043623,253126976812907,253126976812907,253126993412907,253126979977661,0,-13.435246
4043636,253126993510807,253126993510807,253127010110807,253126996916381,0,-13.194426
4043649,253127010208618,253127010208618,253127026808618,253127013964069,0,-12.844549
4043662,253127026907945,253127026907945,253127043507945,253127030701659,0,-12.806286
4043675,253127043605546,253127043605546,253127060205546,253127046905720,0,-13.299826
4043688,253127060304640,253127060304640,253127076904640,253127064037069,0,-12.867571
4043701,253127077001837,253127077001837,253127093601837,253127080333902,0,-13.267935
4043714,253127093700565,253127093700565,253127110300565,253127097334960,0,-12.965605
4043727,253127110397112,253127110397112,253127126997112,253127113564697,0,-13.432415
4043740,253127127111981,253127127111981,253127143711981,253127131124632,0,-12.587349
4043753,253127143806651,253127143806651,253127160406651,253127147012328,0,-13.394323
4043766,253127160509103,253127160509103,253127177109103,253127164485473,0,-12.623630
4043779,253127177216444,253127177216444,253127193816444,253127180857910,0,-12.958534
4043792,253127193944284,253127193944284,253127210544284,253127197293944,0,-13.250340
4043811,253127210656273,253127210656273,253127227256273,253127214866414,0,-12.389859
4043818,253127227367362,253127227367362,253127243967362,253127232006957,0,-11.960405
4043825,253127244079934,253127244079934,253127260679934,253127247896200,0,-12.783734
4043832,253127260791090,253127260791090,253127277391090,253127264599120,0,-12.791970
4043839,253127277504844,253127277504844,253127294104844,253127280814778,0,-13.290066
4043846,253127294222670,253127294222670,253127310822670,253127297316162,0,-13.506508
4043853,253127310936155,253127310936155,253127327536155,253127314049357,0,-13.486798
4043860,253127327649496,253127327649496,253127344249496,253127330995483,0,-13.254013
4043867,253127344361853,253127344361853,253127360961853,253127347401611,0,-13.560242
4043874,253127361074617,253127361074617,253127377674617,253127364513224,0,-13.161393
4043881,253127377786719,253127377786719,253127394386719,253127382120890,0,-12.265829
4043888,253127394499429,253127394499429,253127411099429,253127397919473,0,-13.179956
4043895,253127411210471,253127411210471,253127427810471,253127414552449,0,-13.258022
4043902,253127427926456,253127427926456,253127444526456,253127430870523,0,-13.655933
4043909,253127444636698,253127444636698,253127461236698,253127449416015,0,-11.820683
4043916,253127461345888,253127461345888,253127477945888,253127465291706,0,-12.654182
4043923,253127478076890,253127478076890,253127494676890,253127481256673,0,-13.420217
4043930,253127494785278,253127494785278,253127511385278,253127498180867,0,-13.204411
4043937,253127511491428,253127511491428,253127528091428,253127515048746,0,-13.042682
4043944,253127528200655,253127528200655,253127544800655,253127531512084,0,-13.288571
