# tracer: nop
#
# entries-in-buffer/entries-written: 1523/181595   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
  binder:31215_3-31225   [006] ..... 86325.221783: binder_transaction_received: transaction=3913139
  binder:31215_3-31225   [006] ..... 86325.221956: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:600_3-1965    [007] ..... 86325.235117: binder_transaction_received: transaction=3913140
    binder:600_3-1965    [007] ..... 86325.235175: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86325.239970: binder_transaction: transaction=3913141 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [007] ..... 86325.240052: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
##### CPU 2 buffer started ####
    binder:602_2-602     [002] ..... 86325.254033: binder_transaction: transaction=3913146 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
    binder:602_2-602     [002] ..... 86325.254087: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:602_2-602     [002] ..... 86325.254139: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:602_2-602     [002] ..... 86325.254148: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [002] ..... 86325.254179: binder_transaction_received: transaction=3913146
  thermal_LITTLE-219     [002] ..... 86325.255583: thermal_temperature: thermal_zone=LITTLE id=11 temp_prev=60000 temp=60000
  thermal_LITTLE-219     [002] ..... 86325.255680: thermal_temperature: thermal_zone=LITTLE id=11 temp_prev=60000 temp=60000
       Thread-76-31418   [002] ..... 86325.268295: binder_transaction: transaction=3913150 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [002] ..... 86325.268357: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 UnityGfxDeviceW-31394   [006] ..... 86325.272919: binder_transaction: transaction=3913153 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [006] ..... 86325.273061: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_3-31225   [002] ..... 86325.273090: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  binder:31215_3-31225   [006] ..... 86325.285768: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
   kworker/u17:1-3871    [006] ..... 86325.294368: block_rq_issue: 8,0 RA 45056 () 2370576 + 88 [kworker/u17:1]
   kworker/u17:1-3871    [006] ..... 86325.294382: block_rq_issue: 8,0 RA 4096 () 2370688 + 8 [kworker/u17:1]
   kworker/u17:1-3871    [006] ..... 86325.294386: block_rq_issue: 8,0 RA 8192 () 2370704 + 16 [kworker/u17:1]
   kworker/u17:1-3871    [006] ..... 86325.294388: block_rq_issue: 8,0 RA 4096 () 2370736 + 8 [kworker/u17:1]
   kworker/u17:1-3871    [006] ..... 86325.294391: block_rq_issue: 8,0 RA 4096 () 2370752 + 8 [kworker/u17:1]
   kworker/u17:1-3871    [006] ..... 86325.294397: block_rq_issue: 8,0 RA 20480 () 2370784 + 40 [kworker/u17:1]
    binder:600_3-1965    [002] ..... 86325.301807: binder_transaction_received: transaction=3913159
    binder:600_3-1965    [002] ..... 86325.301973: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:600_3-1965    [002] ..... 86325.305021: binder_transaction_received: transaction=3913160
    binder:600_3-1965    [002] ..... 86325.305366: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  thermal_LITTLE-219     [002] ..... 86325.308973: thermal_temperature: thermal_zone=LITTLE id=11 temp_prev=60000 temp=60000
  surfaceflinger-600     [002] ..... 86325.320166: binder_transaction: transaction=3913169 dest_node=444 dest_proc=602 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-600     [002] ..... 86325.320228: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-600     [002] ..... 86325.320243: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
    binder:602_2-602     [002] ..... 86325.320282: binder_transaction_received: transaction=3913169
    binder:602_2-602     [002] ..... 86325.321643: binder_transaction: transaction=3913170 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
    binder:602_2-602     [002] ..... 86325.321695: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:602_2-602     [002] ..... 86325.321740: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:602_2-602     [002] ..... 86325.321748: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [002] ..... 86325.321775: binder_transaction_received: transaction=3913170
     thermal_BIG-193     [002] ..... 86325.323896: thermal_temperature: thermal_zone=BIG id=9 temp_prev=60000 temp=60000
     thermal_BIG-193     [002] ..... 86325.324006: thermal_temperature: thermal_zone=BIG id=9 temp_prev=60000 temp=60000
##### CPU 0 buffer started ####
    Thread-59883-31689   [000] ..... 86325.326091: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
   binder:1209_E-2870    [000] ..... 86325.326122: binder_transaction_received: transaction=3913172
   binder:1209_E-2870    [000] ..... 86325.326529: binder_transaction: transaction=3913173 dest_node=0 dest_proc=31215 dest_thread=31689 reply=1 flags=0x0 code=0x0
   binder:1209_E-2870    [000] ..... 86325.326562: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
   binder:1209_E-2870    [000] ..... 86325.326574: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    Thread-59883-31689   [000] ..... 86325.326598: binder_transaction_received: transaction=3913173
     thermal_BIG-193     [002] ..... 86325.334701: thermal_temperature: thermal_zone=BIG id=9 temp_prev=60000 temp=60000
     thermal_BIG-193     [002] ..... 86325.334849: thermal_temperature: thermal_zone=BIG id=9 temp_prev=60000 temp=60000
       Thread-76-31418   [002] ..... 86325.335253: binder_transaction: transaction=3913174 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [002] ..... 86325.335311: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
     thermal_BIG-193     [002] ..... 86325.336153: thermal_temperature: thermal_zone=BIG id=9 temp_prev=60000 temp=61000
     thermal_BIG-193     [002] ..... 86325.336259: thermal_temperature: thermal_zone=BIG id=9 temp_prev=61000 temp=61000
  binder:31215_3-31225   [000] ..... 86325.337587: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:600_3-1965    [000] ..... 86325.352195: binder_transaction_received: transaction=3913177
    binder:600_3-1965    [000] ..... 86325.352254: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  binder:31215_3-31225   [000] ..... 86325.352540: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  decon0_kthread-294     [002] ..... 86325.354588: dma_fence_wait_start: driver=mali timeline=mali.timeline context=17 seqno=382
  decon0_kthread-294     [002] ..... 86325.354595: dma_fence_wait_end: driver=mali timeline=mali.timeline context=17 seqno=382
  decon0_kthread-294     [002] ..... 86325.354597: dma_fence_wait_start: driver=mali timeline=mali.timeline context=22776 seqno=8255
