# tracer: nop
#
# entries-in-buffer/entries-written: 1874/215392   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 android.hardwar-1982    [006] ..... 86703.404244: binder_transaction: transaction=4083797 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [006] ..... 86703.404257: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.404262: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [006] ..... 86703.404271: binder_transaction_received: transaction=4083797
  InputProcessor-2285    [006] ..... 86703.409467: binder_transaction: transaction=4083798 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [006] ..... 86703.409478: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.409487: binder_transaction_received: transaction=4083798
 android.hardwar-1982    [006] ..... 86703.409519: binder_transaction: transaction=4083799 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
  InputProcessor-2285    [006] ..... 86703.409541: binder_transaction_received: transaction=4083799
 android.hardwar-1982    [006] ..... 86703.409567: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.409572: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [004] ..... 86703.415319: binder_transaction: transaction=4083802 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [004] ..... 86703.415361: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  InputProcessor-2285    [007] ..... 86703.420642: binder_transaction: transaction=4083808 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
