rank,event,tid,comm,count,relevant_to_game_pipeline,first_ts_ns,last_ts_ns,duration_ms
480,FUTEX_WAIT,551,logd.reader,2,False,273135165100529,273135165908757,0.808
481,FUTEX_WAIT,539,lmkd,2,False,273137241176946,273138157237249,916.06
482,FUTEX_WAIT,1491,ActivityManager,2,False,273137251845525,273138157778550,905.933
483,FUTEX_WAIT,6375,DefaultDispatch,2,False,273137417394557,273137423021469,5.627
484,FUTEX_WAIT,544,lmkd_reaper0,2,False,273138157298244,273138174514756,17.217
485,FUTEX_WAIT,1486,android.bg,2,False,273138205862005,273146472807973,8266.946
486,FUTEX_WAIT,14965,NetworkMonitor/,2,False,273138211822048,273138211833156,0.011
487,FUTEX_WAIT,2086,FinalizerDaemon,2,False,273138347804225,273138347809230,0.005
488,BINDER_CALL,22438,[GT]ColdPool#5,2,False,273138443155259,273138456176377,13.021
489,FUTEX_WAIT,29526,binder:29487_4,2,False,273140995657620,273141066812934,71.155
490,FUTEX_WAIT,17319,com.luna.music,2,False,273140999404691,273141000344184,0.939
491,BINDER_CALL,2771,pixelstats-vend,2,False,273141007250963,273141017345324,10.094
492,FUTEX_WAIT,29506,GcaGeneric-2,2,False,273141039806465,273141040126655,0.32
493,BINDER_CALL,589,suspend-service,2,False,273143175953154,273143176276803,0.324
494,BINDER_CALL,18100,Dns_120_10276,2,False,273145743709218,273145743755401,0.046
495,BINDER_CALL,2654,PowerStatsServi,2,False,273150177940014,273150191327709,13.388
496,FUTEX_WAIT,12154,tron.oc.mrc.rt,2,False,273153189311353,273153189324415,0.013
497,FUTEX_WAIT,16165,ThreadPoolSingl,2,False,273153722451450,273155000194289,1277.743
498,FUTEX_WAIT,18010,Blocking Thread,1,False,273100351686246,273100351686246,0.0
499,BINDER_CALL,4648,GoogleApiHandle,1,False,273100352122037,273100352122037,0.0
500,FUTEX_WAIT,11456,binder:11388_7,1,False,273100352643481,273100352643481,0.0
501,FUTEX_WAIT,18017,FinalizerWatchd,1,False,273100352983854,273100352983854,0.0
502,FUTEX_WAIT,18025,Dns_120_10160,1,False,273100361505135,273100361505135,0.0
503,FUTEX_WAIT,18026,Dns_120_10160,1,False,273100373278979,273100373278979,0.0
504,FUTEX_WAIT,18007,thread_sp_file_,1,False,273100377517993,273100377517993,0.0
505,BINDER_CALL,8596,firebase-instal,1,False,273100378863207,273100378863207,0.0
506,FUTEX_WAIT,18028,Dns_120_10166,1,False,273100404890022,273100404890022,0.0
507,FUTEX_WAIT,18029,Dns_120_10166,1,False,273100404958992,273100404958992,0.0
508,BINDER_CALL,18028,Dns_120_10166,1,False,273100405256233,273100405256233,0.0
509,BINDER_CALL,4028,:xg_vip_service,1,False,273101778851327,273101778851327,0.0
510,FUTEX_WAIT,2107,ThreadPoolServi,1,False,273102215182544,273102215182544,0.0
511,FUTEX_WAIT,27837,opjohnwu.magisk,1,False,273102226055632,273102226055632,0.0
512,FUTEX_WAIT,9357,binder:27837_A,1,False,273102226526742,273102226526742,0.0
513,FUTEX_WAIT,13060,DefaultDispatch,1,False,273102255859709,273102255859709,0.0
514,FUTEX_WAIT,13058,DefaultDispatch,1,False,273102255886239,273102255886239,0.0
515,FUTEX_WAIT,11464,DefaultDispatch,1,False,273103182347421,273103182347421,0.0
516,FUTEX_WAIT,11458,DefaultDispatch,1,False,273103182443979,273103182443979,0.0
517,FUTEX_WAIT,11459,DefaultDispatch,1,False,273103182460336,273103182460336,0.0
518,FUTEX_WAIT,11457,DefaultDispatch,1,False,273103182462737,273103182462737,0.0
519,FUTEX_WAIT,17474,PushThreadHandl,1,False,273104909789398,273104909789398,0.0
520,BINDER_CALL,10639,binder:30294_6,1,False,273105201257619,273105201257619,0.0
521,FUTEX_WAIT,10639,binder:30294_6,1,False,273105201402150,273105201402150,0.0
522,BINDER_CALL,30165,LightweightExec,1,False,273105201672862,273105201672862,0.0
523,FUTEX_WAIT,30126,android.vending,1,False,273105202268646,273105202268646,0.0
524,BINDER_CALL,8412,binder:30358_B,1,False,273105203473114,273105203473114,0.0
525,FUTEX_WAIT,8412,binder:30358_B,1,False,273105203580047,273105203580047,0.0
526,FUTEX_WAIT,1305,binder:1209_2,1,False,273105203811330,273105203811330,0.0
527,FUTEX_WAIT,30384,LightweightExec,1,False,273105203863495,273105203863495,0.0
528,FUTEX_WAIT,30332,LightweightExec,1,False,273105203912852,273105203912852,0.0
529,FUTEX_WAIT,30167,LightweightExec,1,False,273105203994598,273105203994598,0.0
530,FUTEX_WAIT,709,binder:30126_B,1,False,273105207893483,273105207893483,0.0
531,BINDER_CALL,17493,AsyncEventManag,1,False,273106407683279,273106407683279,0.0
532,FUTEX_WAIT,3012,DefaultDispatch,1,False,273107000934500,273107000934500,0.0
533,FUTEX_WAIT,3017,DefaultDispatch,1,False,273107000963756,273107000963756,0.0
534,FUTEX_WAIT,3015,DefaultDispatch,1,False,273107001076223,273107001076223,0.0
535,FUTEX_WAIT,17913,TTNet-AN-File,1,False,273107318097504,273107318097504,0.0
536,FUTEX_WAIT,3014,DefaultDispatch,1,False,273108354065645,273108354065645,0.0
537,FUTEX_WAIT,1859,NetworkPolicy,1,False,273110165036959,273110165036959,0.0
538,BINDER_CALL,18039,Dns_120_10156,1,False,273110284626640,273110284626640,0.0
539,BINDER_CALL,2200,gle.android.nfc,1,False,273110404881686,273110404881686,0.0
540,FUTEX_WAIT,18040,Thread-4452,1,False,273110404943168,273110404943168,0.0
541,FUTEX_WAIT,2200,gle.android.nfc,1,False,273110409246879,273110409246879,0.0
542,FUTEX_WAIT,1489,ActivityManager,1,False,273110426569389,273110426569389,0.0
543,FUTEX_WAIT,18045,pixel.dcservice,1,False,273110491467176,273110491467176,0.0
544,FUTEX_WAIT,18049,pixel.dcservice,1,False,273110492185763,273110492185763,0.0
545,FUTEX_WAIT,18048,pixel.dcservice,1,False,273110492212781,273110492212781,0.0
546,FUTEX_WAIT,18053,pool-694-thread,1,False,273110559796277,273110559796277,0.0
547,FUTEX_WAIT,18058,Lite Thread #0,1,False,273110631062350,273110631062350,0.0
548,FUTEX_WAIT,11480,ChromiumNet,1,False,273110888253431,273110888253431,0.0
549,FUTEX_WAIT,18061,netd,1,False,273110889106336,273110889106336,0.0
550,FUTEX_WAIT,18061,Dns_120_10170,1,False,273110889788587,273110889788587,0.0
551,FUTEX_WAIT,18062,Dns_120_10170,1,False,273110902620903,273110902620903,0.0
552,FUTEX_WAIT,11479,ThreadPoolForeg,1,False,273110906877332,273110906877332,0.0
553,BINDER_CALL,1448,rild_exynos,1,False,273112059578627,273112059578627,0.0
554,FUTEX_WAIT,11417,GlobalDispatchi,1,False,273114825974380,273114825974380,0.0
555,FUTEX_WAIT,11412,WearableChimera,1,False,273114849581517,273114849581517,0.0
556,FUTEX_WAIT,11412,actvpool[2],1,False,273114849681574,273114849681574,0.0
557,FUTEX_WAIT,30923,Jit thread pool,1,False,273114876527074,273114876527074,0.0
558,FUTEX_WAIT,30924,HeapTaskDaemon,1,False,273114876561538,273114876561538,0.0
559,FUTEX_WAIT,30925,ReferenceQueueD,1,False,273114876601374,273114876601374,0.0
560,FUTEX_WAIT,30926,FinalizerDaemon,1,False,273114876605443,273114876605443,0.0
561,FUTEX_WAIT,30927,FinalizerWatchd,1,False,273114876611994,273114876611994,0.0
562,FUTEX_WAIT,30930,Profile Saver,1,False,273114876675715,273114876675715,0.0
563,FUTEX_WAIT,15806,Thread-19284,1,False,273115248870376,273115248870376,0.0
564,FUTEX_WAIT,10099,DefaultDispatch,1,False,273116451084814,273116451084814,0.0
565,FUTEX_WAIT,10100,DefaultDispatch,1,False,273116455190364,273116455190364,0.0
566,BINDER_CALL,2492,bt_stack_manage,1,False,273116532428197,273116532428197,0.0
567,BINDER_CALL,1091,binder:913_2,1,False,273116548360693,273116548360693,0.0
568,BINDER_CALL,2608,binder:2088_5,1,False,273116548649185,273116548649185,0.0
569,FUTEX_WAIT,2492,bt_stack_manage,1,False,273116549050756,273116549050756,0.0
570,FUTEX_WAIT,18075,BG Thread #2,1,False,273117645626237,273117645626237,0.0
571,BINDER_CALL,1541,POSIX timer 0,1,False,273118147741268,273118147741268,0.0
572,FUTEX_WAIT,16997,HWC release,1,False,273119577339698,273119577339698,0.0
573,BINDER_CALL,1449,rild_exynos,1,False,273119597250668,273119597250668,0.0
574,FUTEX_WAIT,22401,DefaultDispatch,1,False,273119993678932,273119993678932,0.0
575,FUTEX_WAIT,22400,DefaultDispatch,1,False,273119999572649,273119999572649,0.0
576,FUTEX_WAIT,17519,player_thread_p,1,False,273120278523373,273120278523373,0.0
577,FUTEX_WAIT,11388,.gms.persistent,1,False,273120557848325,273120557848325,0.0
578,FUTEX_WAIT,1049,binder:975_1,1,False,273120571506731,273120571506731,0.0
579,BINDER_CALL,6358,binder:17667_6,1,False,273120587503110,273120587503110,0.0
580,FUTEX_WAIT,17819,ChromiumNet,1,False,273120618804298,273120618804298,0.0
581,BINDER_CALL,18076,Dns_120_10170,1,False,273120621168515,273120621168515,0.0
582,FUTEX_WAIT,17808,ThreadPoolForeg,1,False,273120621309547,273120621309547,0.0
583,FUTEX_WAIT,18419,DefaultDispatch,1,False,273121305506243,273121305506243,0.0
584,FUTEX_WAIT,18416,DefaultDispatch,1,False,273121305543231,273121305543231,0.0
585,FUTEX_WAIT,18417,DefaultDispatch,1,False,273121305721331,273121305721331,0.0
586,FUTEX_WAIT,18418,DefaultDispatch,1,False,273121305748390,273121305748390,0.0
587,FUTEX_WAIT,17569,DefaultDispatch,1,False,273121305832863,273121305832863,0.0
588,FUTEX_WAIT,17573,DefaultDispatch,1,False,273121305987892,273121305987892,0.0
589,FUTEX_WAIT,4126,DefaultDispatch,1,False,273122061679543,273122061679543,0.0
590,FUTEX_WAIT,6376,DefaultDispatch,1,False,273122061699929,273122061699929,0.0
591,FUTEX_WAIT,6372,DefaultDispatch,1,False,273122061858457,273122061858457,0.0
592,FUTEX_WAIT,17936,DefaultDispatch,1,False,273122062336892,273122062336892,0.0
593,FUTEX_WAIT,17568,DefaultDispatch,1,False,273122064943866,273122064943866,0.0
594,FUTEX_WAIT,18415,DefaultDispatch,1,False,273122065520811,273122065520811,0.0
595,BINDER_CALL,1727,storaged,1,False,273122093145729,273122093145729,0.0
596,FUTEX_WAIT,2873,binder:1209_F,1,False,273122395412738,273122395412738,0.0
597,FUTEX_WAIT,1797,binder:1209_5,1,False,273122395431049,273122395431049,0.0
598,BINDER_CALL,1797,binder:1209_5,1,False,273122395497902,273122395497902,0.0
599,BINDER_CALL,2873,binder:1209_F,1,False,273122395661477,273122395661477,0.0
600,FUTEX_WAIT,1507,bgres-controlle,1,False,273122401764952,273122401764952,0.0
601,FUTEX_WAIT,18561,timer_thread,1,False,273122512222349,273122512222349,0.0
602,FUTEX_WAIT,3020,DefaultDispatch,1,False,273127802441224,273127802441224,0.0
603,FUTEX_WAIT,1405,android.display,1,False,273132382146101,273132382146101,0.0
604,FUTEX_WAIT,2759,pool-74-thread-,1,False,273132922531558,273132922531558,0.0
605,FUTEX_WAIT,3469,DefaultDispatch,1,False,273135498577051,273135498577051,0.0
606,FUTEX_WAIT,16790,DefaultDispatch,1,False,273136536601628,273136536601628,0.0
607,FUTEX_WAIT,3467,DefaultDispatch,1,False,273136536608953,273136536608953,0.0
608,FUTEX_WAIT,545,lmkd_reaper1,1,False,273137259321193,273137259321193,0.0
609,FUTEX_WAIT,2130,binder:2120_1,1,False,273137417166733,273137417166733,0.0
610,FUTEX_WAIT,4125,DefaultDispatch,1,False,273137417597926,273137417597926,0.0
611,BINDER_CALL,6375,DefaultDispatch,1,False,273137419789617,273137419789617,0.0
612,FUTEX_WAIT,6374,DefaultDispatch,1,False,273137581333766,273137581333766,0.0
613,FUTEX_WAIT,4128,DefaultDispatch,1,False,273137998974798,273137998974798,0.0
614,FUTEX_WAIT,1399,android.fg,1,False,273140988206164,273140988206164,0.0
615,BINDER_CALL,20657,binder:2133_4,1,False,273140992611437,273140992611437,0.0
616,BINDER_CALL,2685,hbmsv,1,False,273140993551338,273140993551338,0.0
617,FUTEX_WAIT,18094,pool-5-thread-2,1,False,273140996702379,273140996702379,0.0
618,FUTEX_WAIT,18092,pool-5-thread-2,1,False,273141004134142,273141004134142,0.0
619,BINDER_CALL,12604,binder:11388_A,1,False,273141135104153,273141135104153,0.0
620,FUTEX_WAIT,28108,ConnectivityMon,1,False,273141215343493,273141215343493,0.0
621,FUTEX_WAIT,32286,arch_disk_io_3,1,False,273141216647082,273141216647082,0.0
622,FUTEX_WAIT,18100,netd,1,False,273145723660715,273145723660715,0.0
623,FUTEX_WAIT,18100,Dns_120_10276,1,False,273145730293650,273145730293650,0.0
624,FUTEX_WAIT,18101,Dns_120_10276,1,False,273145742612660,273145742612660,0.0
625,FUTEX_WAIT,15475,ConscryptStatsL,1,False,273145890266143,273145890266143,0.0
626,FUTEX_WAIT,16001,pool-11-thread-,1,False,273150863822623,273150863822623,0.0
627,FUTEX_WAIT,16151,ThreadPoolServi,1,False,273153718426669,273153718426669,0.0
628,FUTEX_WAIT,16187,DefaultDispatch,1,False,273153887598707,273153887598707,0.0
629,FUTEX_WAIT,16188,DefaultDispatch,1,False,273153894072869,273153894072869,0.0
630,FUTEX_WAIT,16186,DefaultDispatch,1,False,273153947818230,273153947818230,0.0
631,BINDER_CALL,29487,id.GoogleCamera,1,False,273156184580194,273156184580194,0.0
632,FUTEX_WAIT,3011,DefaultDispatch,1,False,273158044334346,273158044334346,0.0
633,FUTEX_WAIT,3016,DefaultDispatch,1,False,273158044401037,273158044401037,0.0
634,FUTEX_WAIT,18136,TTNet-Fg-W,1,False,273158338029373,273158338029373,0.0
635,FUTEX_WAIT,3013,DefaultDispatch,1,False,273158497952998,273158497952998,0.0
