frame_index,frame_token,deadline_missed,frame_time_ms,cluster,sampled_time_ns,avg_freq_khz,min_freq_khz,max_freq_khz,sample_count
8,9420706,0,16.225,big,41200000,2608805.394126,2401000.000000,2630000.000000,6
8,9420706,0,16.225,little,82400000,1394243.640922,1328000.000000,1401000.000000,12
8,9420706,0,16.225,middle,41200000,1715394.086165,1328000.000000,2253000.000000,6
9,9420743,0,16.252,big,41200000,2630000.000000,2630000.000000,2630000.000000,6
9,9420743,0,16.252,little,82400000,1401000.000000,1401000.000000,1401000.000000,12
9,9420743,0,16.252,middle,41200000,2179586.836165,1328000.000000,2253000.000000,6
10,9420780,0,16.137,big,41200000,2630000.000000,2630000.000000,2630000.000000,6
10,9420780,0,16.137,little,82400000,1566628.429806,1401000.000000,1803000.000000,12
10,9420780,0,16.137,middle,41200000,1583316.684515,910000.000000,2253000.000000,6
11,9420817,0,16.186,big,41200000,2630000.000000,2630000.000000,2630000.000000,6
11,9420817,0,16.186,little,82400000,1415842.735485,1401000.000000,1598000.000000,12
11,9420817,0,16.186,middle,41200000,1738716.804320,1197000.000000,2253000.000000,6
12,9420854,0,16.225,big,41200000,2630000.000000,2630000.000000,2630000.000000,6
12,9420854,0,16.225,little,82400000,1752213.076311,1401000.000000,1803000.000000,12
12,9420854,0,16.225,middle,41200000,2056295.422427,696000.000000,2253000.000000,6
13,9420892,0,16.109,big,41200000,2630000.000000,2630000.000000,2630000.000000,6
13,9420892,0,16.109,little,82400000,1401000.000000,1401000.000000,1401000.000000,12
13,9420892,0,16.109,middle,41200000,1700809.808155,1197000.000000,2253000.000000,6
14,9420929,0,16.222,big,41216852,2630000.000000,2630000.000000,2630000.000000,6
14,9420929,0,16.222,little,82433704,1401000.000000,1401000.000000,1401000.000000,12
14,9420929,0,16.222,middle,41216852,2253000.000000,2253000.000000,2253000.000000,6
15,9420966,0,16.182,big,41200000,2630000.000000,2630000.000000,2630000.000000,6
15,9420966,0,16.182,little,82400000,1401000.000000,1401000.000000,1401000.000000,12
15,9420966,0,16.182,middle,41200000,1136513.956505,1024000.000000,1328000.000000,6
16,9421003,0,16.14,big,41200000,2590594.755704,2507000.000000,2630000.000000,10
16,9421003,0,16.14,little,82400000,1428550.294017,1328000.000000,1803000.000000,36
16,9421003,0,16.14,middle,41200000,1016366.065971,400000.000000,1328000.000000,14
17,9421040,0,16.198,big,41200000,2507000.000000,2507000.000000,2507000.000000,6
17,9421040,0,16.198,little,82400000,1489735.576663,1328000.000000,1803000.000000,24
17,9421040,0,16.198,middle,41200000,2247046.289490,2130000.000000,2253000.000000,8
18,9421077,0,16.173,big,41226960,2507000.000000,2507000.000000,2507000.000000,6
18,9421077,0,16.173,little,82453920,1328000.000000,1328000.000000,1328000.000000,12
18,9421077,0,16.173,middle,41226960,1972304.638930,1663000.000000,2253000.000000,12
19,9421114,0,16.157,big,41274126,2507000.000000,2507000.000000,2507000.000000,6
19,9421114,0,16.157,little,82548252,1328000.000000,1328000.000000,1328000.000000,12
19,9421114,0,16.157,middle,41274126,1732737.904420,1491000.000000,2253000.000000,10
20,9421151,0,16.466,big,41373106,2507000.000000,2507000.000000,2507000.000000,8
20,9421151,0,16.466,little,82746212,1328000.000000,1328000.000000,1328000.000000,16
20,9421151,0,16.466,middle,41373106,1384350.495537,1197000.000000,1999000.000000,16
21,9421176,0,16.294,big,41376546,2472566.340554,2401000.000000,2507000.000000,8
21,9421176,0,16.294,little,82753092,1328000.000000,1328000.000000,1328000.000000,12
21,9421176,0,16.294,middle,41376546,1676222.292262,1197000.000000,1836000.000000,10
22,9421189,0,16.178,big,41212198,2617376.975234,2507000.000000,2630000.000000,10
22,9421189,0,16.178,little,82424396,1432370.750427,1328000.000000,1704000.000000,24
22,9421189,0,16.178,middle,41212198,1253439.504755,1197000.000000,1328000.000000,8
23,9421202,0,16.355,big,41203862,2504147.777725,2401000.000000,2630000.000000,12
23,9421202,0,16.355,little,82407724,1422616.676296,1328000.000000,1598000.000000,32
23,9421202,0,16.355,middle,41203862,1914090.026415,799000.000000,2253000.000000,14
24,9421240,0,16.117,big,41251022,2521460.794959,2507000.000000,2630000.000000,10
24,9421240,0,16.117,little,82502044,1423146.903233,1328000.000000,1803000.000000,32
24,9421240,0,16.117,middle,41251022,2072176.539384,1836000.000000,2253000.000000,10
