frame_token,pid,uid,process_name,expected_start_ns,expected_end_ns,actual_start_ns,actual_end_ns,frame_time_ms,jank_type,deadline_missed,window_start_ns,window_end_ns
9424048,600,[NULL],[NULL],949926080458011,949926097058011,949926080727627,949926097104825,16.377,None,False,949926078458011,949926099104825
9424085,600,[NULL],[NULL],949926113901259,949926130501259,949926114335008,949926130528978,16.194,None,False,949926111901259,949926132528978
9424122,600,[NULL],[NULL],949926147353317,949926163953317,949926147690273,949926163961107,16.271,None,False,949926145353317,949926165961107
9424159,600,[NULL],[NULL],949926180803809,949926197403809,949926181169765,949926197396734,16.227,None,False,949926178803809,949926199403809
9424196,600,[NULL],[NULL],949926214248686,949926230848686,949926214542813,949926230846402,16.304,None,False,949926212248686,949926232848686
9424233,600,[NULL],[NULL],949926247691292,949926264291292,949926248174526,949926264305426,16.131,None,False,949926245691292,949926266305426
9424270,600,[NULL],[NULL],949926281136091,949926297736091,949926281517951,949926297743659,16.226,None,False,949926279136091,949926299743659
9424283,600,[NULL],[NULL],949926314582033,949926331182033,949926314995408,949926331171230,16.176,None,False,949926312582033,949926333182033
9424308,600,[NULL],[NULL],949926348025399,949926364625399,949926348416185,949926364618903,16.203,None,False,949926346025399,949926366625399
9424333,600,[NULL],[NULL],949926381467016,949926398067016,949926381772834,949926398044197,16.271,None,False,949926379467016,949926400067016
9424346,600,[NULL],[NULL],949926414908137,949926431508137,949926415271044,949926431504646,16.234,None,False,949926412908137,949926433508137
9424359,600,[NULL],[NULL],949926448346265,949926464946265,949926448782355,949926464908331,16.126,None,False,949926446346265,949926466946265
9424384,600,[NULL],[NULL],949926481787060,949926498387060,949926482204922,949926498347907,16.143,None,False,949926479787060,949926500387060
9424421,600,[NULL],[NULL],949926515221486,949926531821486,949926515656339,949926531779060,16.123,None,False,949926513221486,949926533821486
9424458,600,[NULL],[NULL],949926548656849,949926565256849,949926549089159,949926565205410,16.116,None,False,949926546656849,949926567256849
9424495,600,[NULL],[NULL],949926582090266,949926598690266,949926582561489,949926598660366,16.099,None,False,949926580090266,949926600690266
9424532,600,[NULL],[NULL],949926615519959,949926632119959,949926616016690,949926632097256,16.081,None,False,949926613519959,949926634119959
9424569,600,[NULL],[NULL],949926648953834,949926665553834,949926649277595,949926665527310,16.25,None,False,949926646953834,949926667553834
9424606,600,[NULL],[NULL],949926682386744,949926698986744,949926682789680,949926698959358,16.17,None,False,949926680386744,949926700986744
9424643,600,[NULL],[NULL],949926715818224,949926732418224,949926716322110,949926732400927,16.079,None,False,949926713818224,949926734418224
9424680,600,[NULL],[NULL],949926749248560,949926765848560,949926749711229,949926765849657,16.138,None,False,949926747248560,949926767849657
9424717,600,[NULL],[NULL],949926782679792,949926799279792,949926783073615,949926799303189,16.23,None,False,949926780679792,949926801303189
9424754,600,[NULL],[NULL],949926816118128,949926832718128,949926816548550,949926832735318,16.187,None,False,949926814118128,949926834735318
9424791,600,[NULL],[NULL],949926849558173,949926866158173,949926849955126,949926866177741,16.223,None,False,949926847558173,949926868177741
9424828,600,[NULL],[NULL],949926882995881,949926899595881,949926883263028,949926899621996,16.359,None,False,949926880995881,949926901621996
9424865,600,[NULL],[NULL],949926916434077,949926933034077,949926916870368,949926933070116,16.2,None,False,949926914434077,949926935070116
9424902,600,[NULL],[NULL],949926949874582,949926966474582,949926950263760,949926966525194,16.261,None,False,949926947874582,949926968525194
9424939,600,[NULL],[NULL],949926983320026,949926999920026,949926983584886,949926999943936,16.359,None,False,949926981320026,949927001943936
9424977,600,[NULL],[NULL],949927016768755,949927033368755,949927017189053,949927033421394,16.232,None,False,949927014768755,949927035421394
9425015,600,[NULL],[NULL],949927050212074,949927066812074,949927050544563,949927066844653,16.3,None,False,949927048212074,949927068844653
9425053,600,[NULL],[NULL],949927083664778,949927100264778,949927084158170,949927100303108,16.145,None,False,949927081664778,949927102303108
9425060,600,[NULL],[NULL],949927100391509,949927116991509,949927100800218,949927117003262,16.203,None,False,949927098391509,949927119003262
9425097,600,[NULL],[NULL],949927133844620,949927150444620,949927134241504,949927150471972,16.23,None,False,949927131844620,949927152471972
9425134,600,[NULL],[NULL],949927167289193,949927183889193,949927167647875,949927184000170,16.352,None,False,949927165289193,949927186000170
9425171,600,[NULL],[NULL],949927200739352,949927217339352,949927201166715,949927217346199,16.179,None,False,949927198739352,949927219346199
9425208,600,[NULL],[NULL],949927234206645,949927250806645,949927234650723,949927250817512,16.167,None,False,949927232206645,949927252817512
9425245,600,[NULL],[NULL],949927267650098,949927284250098,949927268159553,949927284265104,16.106,None,False,949927265650098,949927286265104
9425282,600,[NULL],[NULL],949927301101247,949927317701247,949927301508227,949927317713630,16.205,None,False,949927299101247,949927319713630
9425319,600,[NULL],[NULL],949927334552300,949927351152300,949927334905932,949927351142301,16.236,None,False,949927332552300,949927353152300
9425356,600,[NULL],[NULL],949927368002264,949927384602264,949927368404711,949927384581143,16.176,None,False,949927366002264,949927386602264
9425393,600,[NULL],[NULL],949927401446915,949927418046915,949927401864469,949927418026049,16.162,None,False,949927399446915,949927420046915
9425430,600,[NULL],[NULL],949927434889532,949927451489532,949927435257942,949927451457649,16.2,None,False,949927432889532,949927453489532
9425467,600,[NULL],[NULL],949927468332610,949927484932610,949927468794441,949927484914639,16.12,None,False,949927466332610,949927486932610
9425504,600,[NULL],[NULL],949927501773911,949927518373911,949927502183235,949927518363940,16.181,None,False,949927499773911,949927520373911
9425541,600,[NULL],[NULL],949927535216525,949927551816525,949927535653124,949927551809699,16.157,None,False,949927533216525,949927553816525
9425578,600,[NULL],[NULL],949927568659558,949927585259558,949927569022102,949927585255907,16.234,None,False,949927566659558,949927587259558
9425615,600,[NULL],[NULL],949927602102613,949927618702613,949927602656868,949927618713549,16.057,None,False,949927600102613,949927620713549
9425652,600,[NULL],[NULL],949927635546081,949927652146081,949927636015673,949927652158414,16.143,None,False,949927633546081,949927654158414
9425689,600,[NULL],[NULL],949927668993619,949927685593619,949927669409188,949927685596444,16.187,None,False,949927666993619,949927687596444
9425726,600,[NULL],[NULL],949927702437521,949927719037521,949927702737841,949927719034879,16.297,None,False,949927700437521,949927721037521
9425763,600,[NULL],[NULL],949927735883545,949927752483545,949927736323901,949927752476204,16.152,None,False,949927733883545,949927754483545
9425800,600,[NULL],[NULL],949927769325352,949927785925352,949927769704720,949927785922249,16.218,None,False,949927767325352,949927787925352
9425837,600,[NULL],[NULL],949927802767912,949927819367912,949927803203946,949927819364143,16.16,None,False,949927800767912,949927821367912
9425874,600,[NULL],[NULL],949927836207770,949927852807770,949927836656461,949927852828620,16.172,None,False,949927834207770,949927854828620
9425911,600,[NULL],[NULL],949927869649840,949927886249840,949927870063729,949927886281014,16.217,None,False,949927867649840,949927888281014
9425948,600,[NULL],[NULL],949927903106964,949927919706964,949927903516975,949927919728279,16.211,None,False,949927901106964,949927921728279
9425985,600,[NULL],[NULL],949927936553988,949927953153988,949927937007495,949927953180021,16.173,None,False,949927934553988,949927955180021
9426022,600,[NULL],[NULL],949927970004321,949927986604321,949927970462043,949927986635912,16.174,None,False,949927968004321,949927988635912
9426059,600,[NULL],[NULL],949928003456338,949928020056338,949928003994392,949928020072761,16.078,None,False,949928001456338,949928022072761
9426096,600,[NULL],[NULL],949928036910631,949928053510631,949928037382779,949928053522509,16.14,None,False,949928034910631,949928055522509
9426121,600,[NULL],[NULL],949928070361103,949928086961103,949928070694791,949928086971280,16.276,None,False,949928068361103,949928088971280
9426134,600,[NULL],[NULL],949928103811081,949928120411081,949928104253181,949928120939338,16.686,None,False,949928101811081,949928122939338
9426147,600,[NULL],[NULL],949928137261059,949928153861059,949928137727994,949928153860033,16.132,None,False,949928135261059,949928155861059
9426160,600,[NULL],[NULL],949928170820588,949928187420588,949928171235684,949928187296475,16.061,None,False,949928168820588,949928189420588
9426197,600,[NULL],[NULL],949928204259282,949928220859282,949928204751758,949928220747648,15.996,None,False,949928202259282,949928222859282
9426222,600,[NULL],[NULL],949928237695928,949928254295928,949928238199267,949928254183886,15.985,None,False,949928235695928,949928256295928
9426235,600,[NULL],[NULL],949928271133424,949928287733424,949928271466926,949928287646492,16.18,None,False,949928269133424,949928289733424
9426272,600,[NULL],[NULL],949928304568288,949928321168288,949928304889005,949928321082853,16.194,None,False,949928302568288,949928323168288
9426310,600,[NULL],[NULL],949928338008645,949928354608645,949928338451992,949928354534553,16.083,None,False,949928336008645,949928356608645
9426348,600,[NULL],[NULL],949928371446430,949928388046430,949928371715585,949928387966154,16.251,None,False,949928369446430,949928390046430
9426367,600,[NULL],[NULL],949928388159354,949928404759354,949928388506193,949928404686857,16.181,None,False,949928386159354,949928406759354
9426404,600,[NULL],[NULL],949928421593199,949928438193199,949928422065478,949928438115201,16.05,None,False,949928419593199,949928440193199
9426441,600,[NULL],[NULL],949928455026294,949928471626294,949928455431242,949928471564583,16.133,None,False,949928453026294,949928473626294
9426478,600,[NULL],[NULL],949928488455271,949928505055271,949928488882088,949928504994881,16.113,None,False,949928486455271,949928507055271
9426515,600,[NULL],[NULL],949928521883952,949928538483952,949928522263272,949928538519416,16.256,None,False,949928519883952,949928540519416
9426552,600,[NULL],[NULL],949928555311246,949928571911246,949928555811409,949928571875985,16.065,None,False,949928553311246,949928573911246
9426589,600,[NULL],[NULL],949928588756099,949928605356099,949928589102914,949928605311654,16.209,None,False,949928586756099,949928607356099
9426626,600,[NULL],[NULL],949928622181424,949928638781424,949928622561043,949928638753141,16.192,None,False,949928620181424,949928640781424
9426663,600,[NULL],[NULL],949928655605920,949928672205920,949928656076913,949928672193693,16.117,None,False,949928653605920,949928674205920
9426700,600,[NULL],[NULL],949928689031865,949928705631865,949928689454557,949928705625252,16.171,None,False,949928687031865,949928707631865
9426737,600,[NULL],[NULL],949928722456716,949928739056716,949928722996752,949928739064338,16.068,None,False,949928720456716,949928741064338
9426774,600,[NULL],[NULL],949928755880303,949928772480303,949928756241015,949928772507780,16.267,None,False,949928753880303,949928774507780
9426811,600,[NULL],[NULL],949928789304546,949928805904546,949928789617032,949928805937345,16.32,None,False,949928787304546,949928807937345
9426848,600,[NULL],[NULL],949928822801149,949928839401149,949928823201872,949928839365691,16.164,None,False,949928820801149,949928841401149
9426885,600,[NULL],[NULL],949928856234109,949928872834109,949928856677417,949928872810718,16.133,None,False,949928854234109,949928874834109
9426922,600,[NULL],[NULL],949928889664010,949928906264010,949928890107511,949928906250700,16.143,None,False,949928887664010,949928908264010
9426959,600,[NULL],[NULL],949928923096699,949928939696699,949928923561980,949928939686329,16.124,None,False,949928921096699,949928941696699
9426996,600,[NULL],[NULL],949928956529292,949928973129292,949928956961637,949928973161954,16.2,None,False,949928954529292,949928975161954
9427033,600,[NULL],[NULL],949928989964296,949929006564296,949928990377653,949929006582690,16.205,None,False,949928987964296,949929008582690
9427070,600,[NULL],[NULL],949929023407399,949929040007399,949929023788745,949929039999886,16.211,None,False,949929021407399,949929042007399
9427107,600,[NULL],[NULL],949929056847659,949929073447659,949929057263354,949929073475024,16.212,None,False,949929054847659,949929075475024
9427144,600,[NULL],[NULL],949929090282598,949929106882598,949929090713427,949929107012336,16.299,None,False,949929088282598,949929109012336
9427181,600,[NULL],[NULL],949929123725717,949929140325717,949929124172615,949929140342781,16.17,None,False,949929121725717,949929142342781
9427218,600,[NULL],[NULL],949929157188479,949929173788479,949929157648446,949929173769296,16.121,None,False,949929155188479,949929175788479
9427255,600,[NULL],[NULL],949929190627005,949929207227005,949929191026823,949929207218352,16.192,None,False,949929188627005,949929209227005
9427292,600,[NULL],[NULL],949929224062154,949929240662154,949929224496549,949929240649341,16.153,None,False,949929222062154,949929242662154
9427329,600,[NULL],[NULL],949929257510619,949929274110619,949929257901741,949929274093880,16.192,None,False,949929255510619,949929276110619
9427366,600,[NULL],[NULL],949929290947950,949929307547950,949929291380908,949929307525928,16.145,None,False,949929288947950,949929309547950
9427403,600,[NULL],[NULL],949929324385916,949929340985916,949929324781462,949929340966602,16.185,None,False,949929322385916,949929342985916
9427440,600,[NULL],[NULL],949929357823181,949929374423181,949929358305753,949929374412239,16.106,None,False,949929355823181,949929376423181
9427477,600,[NULL],[NULL],949929391260645,949929407860645,949929391724780,949929407850797,16.126,None,False,949929389260645,949929409860645
9427514,600,[NULL],[NULL],949929424699002,949929441299002,949929425201180,949929441286711,16.086,None,False,949929422699002,949929443299002
9427551,600,[NULL],[NULL],949929458137044,949929474737044,949929458579597,949929474726122,16.147,None,False,949929456137044,949929476737044
9427588,600,[NULL],[NULL],949929491574905,949929508174905,949929492089161,949929508168547,16.079,None,False,949929489574905,949929510174905
9427625,600,[NULL],[NULL],949929525011506,949929541611506,949929525414803,949929541600187,16.185,None,False,949929523011506,949929543611506
9427662,600,[NULL],[NULL],949929558447222,949929575047222,949929558923593,949929575039437,16.116,None,False,949929556447222,949929577047222
9427699,600,[NULL],[NULL],949929591882139,949929608482139,949929592286751,949929608473071,16.186,None,False,949929589882139,949929610482139
9427736,600,[NULL],[NULL],949929625316708,949929641916708,949929625774341,949929641919401,16.145,None,False,949929623316708,949929643919401
9427749,600,[NULL],[NULL],949929658749835,949929675349835,949929659075570,949929675373137,16.298,None,False,949929656749835,949929677373137
9427787,600,[NULL],[NULL],949929692188871,949929708788871,949929692701140,949929708815153,16.114,None,False,949929690188871,949929710815153
9427825,600,[NULL],[NULL],949929725629509,949929742229509,949929726103890,949929742250741,16.147,None,False,949929723629509,949929744250741
9427851,600,[NULL],[NULL],949929759067485,949929775667485,949929759453867,949929775719207,16.265,None,False,949929757067485,949929777719207
9427877,600,[NULL],[NULL],949929792508890,949929809108890,949929792873055,949929809151294,16.278,None,False,949929790508890,949929811151294
9427915,600,[NULL],[NULL],949929825969604,949929842569604,949929826329069,949929842594206,16.265,None,False,949929823969604,949929844594206
9427934,600,[NULL],[NULL],949929842695554,949929859295554,949929842953012,949929859317473,16.364,None,False,949929840695554,949929861317473
9427971,600,[NULL],[NULL],949929876140382,949929892740382,949929876574268,949929892762704,16.188,None,False,949929874140382,949929894762704
9428008,600,[NULL],[NULL],949929909586537,949929926186537,949929909996794,949929926199959,16.203,None,False,949929907586537,949929928199959
9428045,600,[NULL],[NULL],949929943032435,949929959632435,949929943411507,949929959703581,16.292,None,False,949929941032435,949929961703581
9428082,600,[NULL],[NULL],949929976477922,949929993077922,949929976959969,949929993057666,16.098,None,False,949929974477922,949929995077922
9428119,600,[NULL],[NULL],949930009935312,949930026535312,949930010365894,949930026493823,16.128,None,False,949930007935312,949930028535312
9428156,600,[NULL],[NULL],949930043373244,949930059973244,949930043903492,949930059942595,16.039,None,False,949930041373244,949930061973244
9428181,600,[NULL],[NULL],949930076810791,949930093410791,949930077065682,949930093376799,16.311,None,False,949930074810791,949930095410791
