frame_index,frame_token,deadline_missed,frame_time_ms,thread_count,on_cpu_ms,runnable_wait_ms,top_thread,top_thread_score_ns
150,9425504,0,16.181,89,66.797,28.788,tracepilot:18002,18277000
151,9425541,0,16.157,88,70.178,31.213,tracepilot:18002,18261920
152,9425578,0,16.234,86,66.405,22.713,tracepilot:18002,18307179
153,9425615,0,16.057,94,68.132,30.134,tracepilot:18002,18597793
154,9425652,0,16.143,94,80.744,33.107,tracepilot:18002,18249974
155,9425689,0,16.187,87,70.099,24.116,tracepilot:18002,17338120
156,9425726,0,16.297,99,72.747,30.501,kworker/u16:11:6879,17339057
157,9425763,0,16.152,84,48.663,22.555,tracepilot:18002,18545039
158,9425800,0,16.218,77,57.697,25.108,tracepilot:18002,18518466
159,9425837,0,16.16,91,67.912,31.536,tracepilot:18002,18146914
160,9425874,0,16.172,90,84.235,41.076,tracepilot:18002,18203719
161,9425911,0,16.217,90,74.657,33.609,tracepilot:18002,17866198
162,9425948,0,16.211,98,52.009,24.642,tracepilot:18002,18323654
163,9425985,0,16.173,80,44.148,22.718,tracepilot:18002,18289889
164,9426022,0,16.174,80,52.678,17.682,tracepilot:18002,18528687
165,9426059,0,16.078,77,43.817,18.85,tracepilot:18002,18504371
166,9426096,0,16.14,72,44.797,14.147,tracepilot:18002,18189056
167,9426121,0,16.276,68,46.979,16.38,tracepilot:18002,18493126
168,9426134,0,16.686,74,47.095,13.834,tracepilot:18002,18504849
169,9426147,0,16.132,78,38.621,14.001,tracepilot:18002,18304053
170,9426160,0,16.061,88,61.241,24.972,tracepilot:18002,18214820
171,9426197,0,15.996,87,47.554,18.162,tracepilot:18002,18529902
172,9426222,0,15.985,79,49.899,15.496,tracepilot:18002,18401606
173,9426235,0,16.18,96,75.019,35.196,tracepilot:18002,18296239
174,9426272,0,16.194,94,65.753,33.098,tracepilot:18002,18380316
175,9426310,0,16.083,92,63.929,31.165,tracepilot:18002,18393606
176,9426348,0,16.251,88,77.661,31.142,tracepilot:18002,17738994
177,9426367,0,16.181,92,94.259,33.747,tracepilot:18002,18467944
178,9426404,0,16.05,92,83.392,34.496,tracepilot:18002,18134948
179,9426441,0,16.133,96,84.817,34.661,tracepilot:18002,18396542
180,9426478,0,16.113,93,93.566,35.159,tracepilot:18002,17586427
181,9426515,0,16.256,91,88.032,31.017,tracepilot:18002,17577871
182,9426552,0,16.065,101,90.229,35.217,kworker/u16:11:6879,20483016
183,9426589,0,16.209,94,88.977,25.742,tracepilot:18002,15988441
184,9426626,0,16.192,93,68.462,37.053,tracepilot:18002,17905587
185,9426663,0,16.117,100,68.935,32.77,tracepilot:18002,18356800
186,9426700,0,16.171,94,64.61,33.72,tracepilot:18002,18448597
187,9426737,0,16.068,89,83.221,35.08,tracepilot:18002,18225385
188,9426774,0,16.267,99,74.628,32.032,tracepilot:18002,18392247
189,9426811,0,16.32,88,66.175,28.872,tracepilot:18002,18529775
190,9426848,0,16.164,83,54.015,25.743,tracepilot:18002,18699203
191,9426885,0,16.133,100,55.673,26.32,tracepilot:18002,18419370
192,9426922,0,16.143,82,68.396,22.722,tracepilot:18002,17863068
193,9426959,0,16.124,96,59.067,21.084,tracepilot:18002,18439278
194,9426996,0,16.2,87,60.337,13.428,tracepilot:18002,20632662
195,9427033,0,16.205,82,71.606,18.848,tracepilot:18002,20618394
196,9427070,0,16.211,85,50.615,20.368,tracepilot:18002,18275695
197,9427107,0,16.212,89,50.367,17.576,tracepilot:18002,18104228
198,9427144,0,16.299,81,46.873,19.145,tracepilot:18002,18187406
199,9427181,0,16.17,85,48.055,14.99,tracepilot:18002,18379571
200,9427218,0,16.121,97,59.948,23.264,tracepilot:18002,18308164
201,9427255,0,16.192,86,53.769,20.406,tracepilot:18002,18432636
202,9427292,0,16.153,82,42.562,16.823,tracepilot:18002,18458971
203,9427329,0,16.192,87,53.845,25.356,tracepilot:18002,18573712
204,9427366,0,16.145,77,53.108,22.777,tracepilot:18002,18374541
205,9427403,0,16.185,83,55.065,25.423,tracepilot:18002,18590194
206,9427440,0,16.106,81,50.402,15.955,tracepilot:18002,18262333
207,9427477,0,16.126,82,62.224,18.325,tracepilot:18002,18418759
208,9427514,0,16.086,79,44.207,19.337,tracepilot:18002,18291561
209,9427551,0,16.147,82,43.924,13.991,tracepilot:18002,18270939
210,9427588,0,16.079,92,63.203,17.837,tracepilot:18002,18335562
211,9427625,0,16.185,90,79.037,27.758,tracepilot:18002,18546021
212,9427662,0,16.116,88,53.46,17.006,tracepilot:18002,17915673
213,9427699,0,16.186,81,48.229,13.035,tracepilot:18002,17991806
214,9427736,0,16.145,69,42.311,11.415,tracepilot:18002,18316929
215,9427749,0,16.298,95,61.055,22.848,tracepilot:18002,18123462
216,9427787,0,16.114,78,55.01,13.516,tracepilot:18002,18419178
217,9427825,0,16.147,90,55.882,19.533,tracepilot:18002,18413253
218,9427851,0,16.265,91,62.392,22.835,tracepilot:18002,18783112
219,9427877,0,16.278,78,54.988,13.498,tracepilot:18002,18393463
220,9427915,0,16.265,91,60.308,16.295,tracepilot:18002,18493866
221,9427934,0,16.364,80,70.678,15.971,tracepilot:18002,18364840
222,9427971,0,16.188,91,85.218,25.865,tracepilot:18002,18330248
223,9428008,0,16.203,89,65.424,20.057,tracepilot:18002,18339263
224,9428045,0,16.292,82,61.058,22.043,tracepilot:18002,18573986
225,9428082,0,16.098,86,74.15,20.933,tracepilot:18002,18106647
226,9428119,0,16.128,85,55.961,14.099,tracepilot:18002,19533672
227,9428156,0,16.039,72,58.492,7.343,tracepilot:18002,20600000
228,9428181,0,16.311,89,84.745,16.626,tracepilot:18002,20600000
229,9428218,0,16.073,87,108.786,37.074,tracepilot:18002,20600000
230,9428255,0,16.125,90,128.208,53.313,tracepilot:18002,20600000
231,9428292,0,16.175,96,123.768,58.635,tracepilot:18002,20600000
232,9428329,0,16.243,109,112.192,42.203,tracepilot:18002,20600000
233,9428384,0,16.221,109,97.295,20.383,tracepilot:18002,20600000
234,9428403,0,16.189,91,108.099,22.973,tracepilot:18002,20600000
